timestamp,priceTrendRisk,tweetScore,liquidityRisk,redemptionRisk,bridgeRisk,whaleRisk,tvl
2025-07-12 05:58:29,0.0,0.0,0.0,0.0,0.2,1.0,0.142918
2025-07-12 06:06:42,0.0,0.0,0.0,0.0,0.2,1.0,0.142909
2025-07-12 06:09:53,0.0,0.0,0.0,0.0,0.2,1.0,0.142908
2025-07-12 06:11:58,0.00043111,0.0,0.0,0.0,0.2,1.0,0.142901
2025-07-12 06:14:25,0.000334704,0.0,0.0,0.0,0.2,1.0,0.142901
2025-07-12 06:19:09,0.0,0.0,0.0,0.0,0.2,0.0,0.0
2025-07-12 06:20:56,0.0,0.123,0.0,0.0,0.2,1.0,0.142899
2025-07-12 06:23:19,0.000854814,0.5074,0.0,0.0,0.2,1.0,0.142899
2025-07-12 06:28:07,0.0,0.5074,0.0,0.0,0.2,1.0,0.142898
2025-07-12 07:19:01,0.0,0.5074,0.0,0.0,0.2,1.0,0.142856
2025-07-12 07:24:33,0.0,0.5074,0.0,0.0,0.2,1.0,0.142849
2025-07-12 07:30:23,0.0,0.5074,0.0,0.0,0.2,1.0,0.142835
2025-07-12 07:32:36,0.0,0.5074,0.000000,0.000000,0.200000,1.000000,0.142829
